_id,id,name,is_closed,url,review_count,rating,price,phone,display_phone,distance,address1,city,country,latitude,longitude,alias1,alias2
657f0f31ba8ef8c91c1a6f25,EN4nTASAUrLkK5uTD4yOLw,Brook's Hotel,False,https://www.yelp.com/biz/brooks-hotel-dublin?adjust_creative=aChjNjhifhqT_Wd-4Uq5eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aChjNjhifhqT_Wd-4Uq5eA,47,4.0,€€,35316704000,+353 1 670 4000,198.31544722418846,Drury Street,Dublin,IE,53.3422,-6.26345,hotels,Unknown
657f0f31ba8ef8c91c1a6f26,THf6siLJPYk5NqzkNSymfQ,"The Shelbourne, Autograph Collection",False,https://www.yelp.com/biz/the-shelbourne-autograph-collection-dublin?adjust_creative=aChjNjhifhqT_Wd-4Uq5eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aChjNjhifhqT_Wd-4Uq5eA,158,4.0,€€€,35316634500,+353 1 663 4500,763.6056770677791,27 St Stephen's Green,Dublin,IE,53.3387915300708,-6.25604867935181,hotels,venues
657f0f31ba8ef8c91c1a6f27,TCOEarxGougEhKX2ytNclQ,Eliza Lodge,False,https://www.yelp.com/biz/eliza-lodge-temple-bar?adjust_creative=aChjNjhifhqT_Wd-4Uq5eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aChjNjhifhqT_Wd-4Uq5eA,10,4.5,€€,35316718044,+353 1 671 8044,199.26465472928243,23-24  Wellington Quay,Temple Bar,IE,53.3456,-6.26487,hotels,bedbreakfast
657f0f31ba8ef8c91c1a6f28,PTXjUjy7BwrfCMD82r4GRQ,The Westin Dublin,False,https://www.yelp.com/biz/the-westin-dublin-dublin-2?adjust_creative=aChjNjhifhqT_Wd-4Uq5eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aChjNjhifhqT_Wd-4Uq5eA,113,4.0,€€€,35316451000,+353 1 645 1000,352.9372523214596,"at College Green, Westmoreland Street",Dublin,IE,53.3457,-6.25911,hotels,Unknown
657f0f31ba8ef8c91c1a6f29,1QFWbpSthrwPlF0EX8TPiQ,Radisson Blu Royal Hotel Dublin,False,https://www.yelp.com/biz/radisson-blu-royal-hotel-dublin-dublin?adjust_creative=aChjNjhifhqT_Wd-4Uq5eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aChjNjhifhqT_Wd-4Uq5eA,46,4.0,€€,35318982900,+353 1 898 2900,469.3021401851046,Golden Lane,Dublin,IE,53.3408529,-6.2683246,hotels,Unknown
657f0f31ba8ef8c91c1a6f2a,WKwZZ6sVjvo-iGMdL2Hj6A,Westbury Hotel,False,https://www.yelp.com/biz/westbury-hotel-dublin-2?adjust_creative=aChjNjhifhqT_Wd-4Uq5eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aChjNjhifhqT_Wd-4Uq5eA,99,4.0,€€€,35316463380,+353 1 646 3380,314.8193301383294,Grafton Street,Dublin,IE,53.3414870284309,-6.26133808477303,hotels,Unknown
657f0f31ba8ef8c91c1a6f2b,zLvkiFOyI7jvHYrColeI0Q,Temple Bar Inn,False,https://www.yelp.com/biz/temple-bar-inn-dublin?adjust_creative=aChjNjhifhqT_Wd-4Uq5eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aChjNjhifhqT_Wd-4Uq5eA,30,4.0,€€€,35314845010,+353 1 484 5010,309.4218657859859,40-47 Fleet St,Dublin,IE,53.3456893454025,-6.25989989882167,hotels,Unknown
657f0f31ba8ef8c91c1a6f2c,lI23WACyruQjEzH8CzI_NQ,The Fitzwilliam Hotel,False,https://www.yelp.com/biz/the-fitzwilliam-hotel-dublin?adjust_creative=aChjNjhifhqT_Wd-4Uq5eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aChjNjhifhqT_Wd-4Uq5eA,68,4.0,€€€,35314787000,+353 1 478 7000,541.2430613045282,Saint Stephens Green,Dublin,IE,53.3392715889932,-6.26152439545438,hotels,Unknown
657f0f31ba8ef8c91c1a6f2d,mgjevQf13YEjhcP1gqDT2A,Morrison,False,https://www.yelp.com/biz/morrison-dublin-3?adjust_creative=aChjNjhifhqT_Wd-4Uq5eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aChjNjhifhqT_Wd-4Uq5eA,93,4.0,€€€,35318872400,+353 1 887 2400,337.0989962157895,Lower Ormond Quay,Dublin,IE,53.346661801317,-6.26595409167942,hotels,Unknown
657f0f31ba8ef8c91c1a6f2e,BdS55Lbh9hJYtTccMGmfyQ,Drury Court Hotel,False,https://www.yelp.com/biz/drury-court-hotel-dublin?adjust_creative=aChjNjhifhqT_Wd-4Uq5eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aChjNjhifhqT_Wd-4Uq5eA,20,4.0,€€,35314751988,+353 1 475 1988,435.5642598778287,28-30 Stephen Street,Dublin,IE,53.3400983333914,-6.26443862915039,hotels,Unknown
